"Data Source","World Development Indicators",

"Last Updated Date","2018-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"East Asia & Pacific (excluding high income)","EAP","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1412.50458524275","1549.51395980864","1723.57681268014","1927.30352538056","2153.58693065906","2360.05219368934","2585.31143895212","2776.914818805","2789.52396545176","2961.72543954305","3240.47770604576","3509.29293204418","3816.43863777781","4192.42015374481","4651.71075037041","5185.98163067029","5887.98744717297","6731.05890759495","7397.09574685223","7916.131679497","8703.80528185129","9518.36161041716","10375.541611106","11157.0138829121","12109.757053332","12887.582109371","13783.3252411062","14844.2539003813",
"Early-demographic dividend","EAR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2625.55995683503","2791.84507930271","2924.94214629276","3108.63224746889","3211.7002772912","3315.13728854354","3483.30706281334","3632.4258527793","3679.38981776492","3752.84969546974","3947.23483102352","4055.00911839184","4131.88960490289","4360.92011644001","4699.31984154607","5098.02838440102","5543.90511311225","6023.01193494846","6320.6068870276","6434.76686749165","6859.38864074573","7271.13657002366","7605.24999864965","7956.96656440499","8371.04380127777","8725.90197090747","9153.07407873733","9691.22015590469",
"East Asia & Pacific","EAS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3175.10885923215","3414.02985746271","3636.49217769305","3889.71321013204","4176.22631302055","4469.78907303768","4787.20003272614","5042.71501645032","5028.956079787","5262.01386952864","5681.37930894097","5996.20002180568","6371.77222240945","6798.44866199038","7386.11610729045","8010.37176078169","8837.16710888601","9796.60541666287","10439.9058987629","10806.3978855274","11732.3457627755","12594.2457965871","13491.0353682035","14380.1898414067","15312.513635691","16135.571172587","17052.423472124","18184.1614279642",
"Europe & Central Asia (excluding high income)","ECA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6394.09223208089","6208.47562101218","5638.2879905639","5409.52982485222","4910.23678937736","4890.48053289787","4954.36187837097","5141.65145434748","5147.13400742839","5307.56991044743","5940.85803096758","6325.36754359723","6771.49040895215","7441.43044156498","8361.4041529287","9363.3905879544","11153.4791215363","12466.7038970482","14300.2995678989","13800.7059359458","14781.5299923106","16780.0479273258","17691.930317273","18371.2127947072","18873.1644688309","18747.7848553129","19003.6549485589","20144.23633241",
"Europe & Central Asia","ECS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11466.5802561402","11800.9833623838","11848.1866380273","11934.963002118","12174.0030426271","12526.7077991882","12970.5710113852","13565.5058529475","14070.6302431132","14628.5485282978","15790.7922473384","16570.4840456543","17331.5541937034","18004.2101221566","19171.6437649897","20223.4735075711","22336.6331942531","23853.8501193302","25357.379153736","24743.2074677631","25871.4757832643","27578.6888754767","28281.3616186128","29261.3497474506","29973.9460732131","30334.8604559989","31051.0135922047","32540.6443548826",
"Ecuador","ECU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4450","4750","4920","5050","5290","5420","5480","5720","5820","5380","5400","5790","6080","6250","6810","7330","7790","8040","8710","8710","9030","9770","10360","10880","11310","11250","11030","11350",
"Egypt, Arab Rep.","EGY","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3720","3860","4040","4150","4370","4600","4850","5130","5310","5600","5910","6150","6210","6400","6710","7100","7750","8400","9010","9260","9470","9570","9770","9900","10160","10570","10980","11360",
"Euro area","EMU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17009.5010709364","17945.2360233733","18517.7890919402","18756.214796381","19515.6972596007","20388.4251403392","21046.2339509246","21912.0712520598","22881.8003776316","23829.1356059494","25327.9174764437","26441.7416261305","27375.9229368071","27845.7303257154","29113.6145274319","30153.7664933731","32658.6133134606","34445.4428989833","35617.6804581075","34915.6643334647","35983.0337437976","37606.2274123764","37999.2435543931","39182.3605166445","40056.3655816408","40810.356721356","42135.3419695687","43962.6141777095",
"Eritrea","ERI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","760","890","1100","1170","1260","1370","1400","1390","1330","1430","1440","1380","1390","1440","1430","1460","1320","1350","1370","1500","","","","","","",
"Spain","ESP","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13530","14300","14680","14860","15260","16140","16730","17710","18860","19790","21450","22690","24090","24850","25950","27300","30280","31800","32570","31790","31510","31510","31760","32430","33600","34740","36300","38090",
"Estonia","EST","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9070","9820","11050","12360","13710","15870","18260","20450","21470","19870","20460","23310","24970","26860","27780","28090","29160","31000",
"Ethiopia","ETH","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","420","390","350","390","400","420","460","470","440","460","490","520","520","510","580","650","720","810","890","950","1050","1160","1250","1370","1500","1630","1730","1890",
"European Union","EUU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14894.8886869749","15591.172462119","16080.8877851139","16396.5191095635","17209.0065547374","17842.8448080928","18556.6006141895","19401.050483998","20274.4838294738","21075.218857344","22540.9720679776","23622.4892541509","24621.7244092988","25255.1247834816","26557.8097998587","27548.6870409914","29798.0842530257","31472.5594639294","32773.1751534994","32096.6298677529","33282.0110178722","34750.7892110598","35267.5084019797","36455.1558606297","37373.0272533273","38163.786363058","39369.746925336","41206.9610562078",
"Fragile and conflict affected situations","FCS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1779.7599863892","1349.1300451344","1461.49122271408","1578.49140709164","1634.27184583204","1668.23646375288","1778.67572056816","1923.04080550954","2164.39245503681","2304.55018983175","2357.86199479981","2421.65646963417","2371.73167439428","2212.21374435926","2572.91374495326","2792.32501865254","3031.71749009411","3213.94038946494","3406.21309488893","3494.01494061795","3644.76660790259","3434.11189815845","3846.20774224672","3866.01243444668","3992.64711521935","4054.64839130439","4220.41564170385","4328.04683164191",
